insider,len,mo2_sum,mo2_per_trade,mo2_ratio,mo6_sum,mo6_per_trade,mo6_ratio,year1_sum,year1_per_trade,year1_ratio
bridgford richard eugene,14,1.0262457406580865,0.07330326718986332,64,0.7815247744106475,0.05582319817218911,64,1.2725876266657434,0.09089911619041025,64
bridgford brian e,1,0.04259377595625102,0.04259377595625102,100,0.1907183780867098,0.1907183780867098,100,0.04386526091147744,0.04386526091147744,100
bridgford hugh wm,1,0.058461556067833535,0.058461556067833535,100,0.2353845743032602,0.2353845743032602,100,0.3861538813664363,0.3861538813664363,100
bridgford allanjr,1,0.12786888885293068,0.12786888885293068,100,0.3114754303396792,0.3114754303396792,100,0.48524599364931065,0.48524599364931065,100
schulze robert e,1,0.15134252745732346,0.15134252745732346,100,-0.18958502285908457,-0.18958502285908457,100,-0.21480881623409764,-0.21480881623409764,100
olson ronald l,5,0.207675599636108,0.0415351199272216,40,0.473030158917657,0.0946060317835314,40,0.583795537687231,0.1167591075374462,40
witmer meryl b,2,0.1425177854910089,0.07125889274550445,100,0.3924580959285281,0.19622904796426405,100,0.8754454308717725,0.43772271543588626,100
murphy thomas s,1,0.0023525855248396964,0.0023525855248396964,100,-0.06996039346740196,-0.06996039346740196,100,-0.03454681577176057,-0.03454681577176057,100
wilde peter o,1,0.07339442317087295,0.07339442317087295,100,0.30619265992335826,0.30619265992335826,100,0.9231651312182544,0.9231651312182544,100
fitzgerald margaret boles,1,0.00326794465946556,0.00326794465946556,100,0.247276626212039,0.247276626212039,100,0.8137253883469728,0.8137253883469728,100
hollister thomas j,1,0.024309421258801596,0.024309421258801596,100,0.07734804359250477,0.07734804359250477,100,0.8674032334089915,0.8674032334089915,100
carlson carl m,1,0.0402612465862557,0.0402612465862557,100,0.04461379976138424,0.04461379976138424,100,0.8019586748720712,0.8019586748720712,100
doyle john j jr,2,-0.3290170018307431,-0.16450850091537156,0,-0.16209296481947424,-0.08104648240973712,0,0.4467317918167591,0.22336589590837955,0
chang joanne b,1,-0.03689067248738863,-0.03689067248738863,0,-0.054677200725948436,-0.054677200725948436,0,0.05731218144891145,0.05731218144891145,0
hall john l ii,1,0.04854375164616843,0.04854375164616843,100,0.21682844460531742,0.21682844460531742,100,-0.08478961049286197,-0.08478961049286197,100
laukien frank h,8,0.8115010459248759,0.10143763074060949,100,1.8036018700614767,0.22545023375768458,100,2.0497534998552336,0.2562191874819042,100
ward brian phillip,1,0.11642743561310422,0.11642743561310422,100,0.0,0.0,100,0.0,0.0,100
schneider david,1,-0.0418562372818112,-0.0418562372818112,0,-0.1501364561322822,-0.1501364561322822,0,-0.4358507790365199,-0.4358507790365199,0
haggerty stephen g,1,0.026470633609072997,0.026470633609072997,100,-0.005882300692582611,-0.005882300692582611,100,-0.01568625984353196,-0.01568625984353196,100
hirsch daniel j,3,0.5963540925393759,0.1987846975131253,66,1.0476372070514797,0.3492124023504932,66,1.0652444429631833,0.3550814809877278,66
koa linda,1,0.05486969786838745,0.05486969786838745,100,0.3251028666612856,0.3251028666612856,100,0.4417009991602695,0.4417009991602695,100
luebbers kevin m,1,0.23199996948242188,0.23199996948242188,100,0.6367999267578125,0.6367999267578125,100,0.6880000305175781,0.6880000305175781,100
gellerstedt lawrence l iii,5,0.38618505006622617,0.07723701001324523,80,0.2696193765956769,0.05392387531913538,80,0.6016375415898183,0.12032750831796366,80
brown hugh m,3,0.07428760721557504,0.02476253573852501,100,0.0,0.0,100,0.0,0.0,100
hays james charles,4,0.1029513593634297,0.025737839840857424,75,0.2587607678439347,0.06469019196098368,75,0.5381758771081425,0.13454396927703563,75
varner chilton d,1,0.1548892484419423,0.1548892484419423,100,0.2302477752903497,0.2302477752903497,100,0.3582790671488206,0.3582790671488206,100
baldwin trevor,4,0.029164430705424918,0.0072911076763562295,75,0.0,0.0,75,0.0,0.0,75
valentine john a,3,-0.050423500584045274,-0.01680783352801509,66,0.0,0.0,66,0.0,0.0,66
cohen seth bala,1,0.0068817138671875,0.0068817138671875,100,0.0,0.0,100,0.0,0.0,100
wiebeck kristopher aaron,2,-0.2882787843145449,-0.14413939215727245,0,0.0,0.0,0,0.0,0.0,0
